ONO                    PNO                    QTY                    
---------------------- ---------------------- ---------------------- 
1020                   10506                  1                      
1020                   10507                  1                      
1020                   10508                  2                      
1020                   10509                  3                      
1021                   10601                  4                      
1022                   10601                  1                      
1022                   10701                  1                      
1023                   10800                  1                      
1023                   10900                  1  

